Cód,Materia,Primer llamado,Hora
30.49,Máquinas Térmicas e Hidráulicas,"jueves, 17 de diciembre de 2026",13:00
30.50,Mecánica del Continuo,"viernes, 12 de febrero de 2027",9:00
30.51,Introducción a la Ingeniería Mecánica,"jueves, 18 de febrero de 2027",9:00
30.52,Mecánica Aplicada,"lunes, 22 de febrero de 2027",19:00
30.53,Mecánica de Sólidos Computacional,"martes, 23 de febrero de 2027",14:00
30.54,Mecánica de Sólidos Computacional Avanzada,"jueves, 11 de febrero de 2027",18:00
30.61,Instalaciones Mecánicas en Plantas de Proceso,"miércoles, 10 de febrero de 2027",11:00
30.62,Materiales para la Industria Química,"jueves, 11 de febrero de 2027",13:00
30.70,Introducción a Mecánica de Rocas,"martes, 16 de febrero de 2027",16:00
30.89,Mecánica de Sólidos,"miércoles, 10 de febrero de 2027",11:00
31.08,Sistemas de Representación,"viernes, 12 de febrero de 2027",11:00
31.19,Estática y Resistencia de Materiales,"miércoles, 10 de febrero de 2027",11:00
31.21,Termodinámica,"jueves, 11 de febrero de 2027",16:00
31.22,Mecánica de Fluidos,"miércoles, 10 de febrero de 2027",15:00
31.24,Mecánica de Fluidos,"miércoles, 10 de febrero de 2027",15:00
31.26,Mecánica de Fluidos,"jueves, 18 de febrero de 2027",16:00
31.30,Materiales Poliméricos,"lunes, 22 de febrero de 2027",11:00
31.37,Transferencia de Calor,"lunes, 15 de febrero de 2027",16:00
31.38,Turbomáquinas,"miércoles, 17 de febrero de 2027",13:00
31.65,Procesos de Manufactura II,"jueves, 18 de febrero de 2027",16:00
31.66,"Hidráulica, Neumática y PLC","jueves, 11 de febrero de 2027",16:00
31.67,Procesos de Manufactura I,"lunes, 22 de febrero de 2027",19:00
31.68,Instalaciones Industriales,"martes, 23 de febrero de 2027",19:00
31.73,Aire Acondicionado y Refrigeración,"viernes, 19 de febrero de 2027",16:00
31.82,Sistemas Mecatrónicos,"viernes, 19 de febrero de 2027",13:00
31.84,Estructuras Automotrices,"martes, 23 de febrero de 2027",13:00
31.85,Transmisiones Automotrices,"jueves, 18 de febrero de 2027",19:00
31.90,Integridad Estructural,"martes, 23 de febrero de 2027",19:00
31.92,Elementos Finitos II,"martes, 23 de febrero de 2027",14:00
31.94,Tecnología de Materiales Compuestos,"miércoles, 17 de febrero de 2027",19:00
31.95,Física y Mecánica de Aceros,"miércoles, 10 de febrero de 2027",16:00
31.96,Deformación y Fractura de Materiales,"martes, 23 de febrero de 2027",16:00
31.97,Corrosión y Degradación de Materiales,"miércoles, 17 de febrero de 2027",16:00
31.98,Laboratorio Avanzado de Materiales,"viernes, 19 de febrero de 2027",8:00
31.99,Mecatrónica Aplicada,"viernes, 19 de febrero de 2027",13:00
32.03,Motores Marinos,"viernes, 12 de febrero de 2027",18:00
32.06,Introducción a la Ing. Naval,"miércoles, 10 de febrero de 2027",16:00
32.54,Construcción Naval,"viernes, 12 de febrero de 2027",16:00
32.64,Plantas Propulsoras Marinas,"lunes, 15 de febrero de 2027",11:00
32.66,Hidrostática y Estabilidad,"jueves, 11 de febrero de 2027",9:00
32.69,Resistencia y Propulsión,"viernes, 19 de febrero de 2027",16:00
32.71,Proyecto de Embarcaciones de Trabajo,"miércoles, 17 de febrero de 2027",18:00
32.72,Proyecto de Buques,"jueves, 11 de febrero de 2027",13:00
33.04,Astrodinámica y misiones espaciales,"lunes, 15 de febrero de 2027",19:00
33.12,Sistemas de Propulsión II,"jueves, 11 de febrero de 2027",14:00
41.04,Perforación Petrolera II,"miércoles, 10 de febrero de 2027",16:00
41.05,Geología del Petróleo,"jueves, 11 de febrero de 2027",17:00
41.09,Ingeniería de Reservorios,"martes, 23 de febrero de 2027",16:00
41.10,Recuperación asistida de Petróleo,"jueves, 18 de febrero de 2027",16:00
41.12,Proyecto de Instalaciones de Superficie,"miércoles, 10 de febrero de 2027",18:00
41.15,Gas y Gasolina Natural,"miércoles, 17 de febrero de 2027",18:00
41.16,Análisis de Transientes de Presión,"lunes, 22 de febrero de 2027",19:00
41.19,Desarrollo de Negocios,"martes, 23 de febrero de 2027",19:00
41.34,Desarrollo de Yacimientos (Anual),"viernes, 19 de febrero de 2027",13:00
41.35,Simulación de Reservorios,"jueves, 18 de febrero de 2027",19:00
41.38,Formación General II,"lunes, 22 de febrero de 2027",16:00
41.97,Trabajo de Investigación Dirigido en Petróleo,"miércoles, 17 de febrero de 2027",16:00
46.01,Introducción a la Ingeniería en Petróleo,"lunes, 1 de febrero de 2027",16:00
46.21,Geología I,"jueves, 11 de febrero de 2027",17:00
46.22,Geofísica de Reservorios,"miércoles, 10 de febrero de 2027",16:00
