Cód,Materia,Primer llamado,Hora,Segundo llamado,Hora
30.47,Termofluidos I,"jueves, 10 de diciembre de 2026",16:00,"jueves, 17 de diciembre de 2026",16:00
30.48,Termofluidos II,"lunes, 14 de diciembre de 2026",9:00,"lunes, 21 de diciembre de 2026",9:00
30.49,Máquinas Térmicas e Hidráulicas,"miércoles, 9 de diciembre de 2026",13:00,"miércoles, 23 de diciembre de 2026",13:00
30.50,Mecánica del Continuo,"viernes, 11 de diciembre de 2026",13:00,"viernes, 18 de diciembre de 2026",13:00
30.51,Introducción a la Ingeniería Mecánica,"lunes, 14 de diciembre de 2026",13:00,"lunes, 21 de diciembre de 2026",13:00
30.52,Mecánica Aplicada,"lunes, 14 de diciembre de 2026",19:00,"lunes, 21 de diciembre de 2026",19:00
30.53,Mecánica de Sólidos Computacional,"jueves, 10 de diciembre de 2026",14:00,"jueves, 17 de diciembre de 2026",14:00
30.54,Mecánica de Sólidos Computacional Avanzada,"jueves, 10 de diciembre de 2026",14:00,"jueves, 17 de diciembre de 2026",14:00
30.61,Instalaciones Mecánicas en Plantas de Proceso,"lunes, 14 de diciembre de 2026",8:00,"lunes, 21 de diciembre de 2026",8:00
30.62,Materiales para la Industria Química,"jueves, 10 de diciembre de 2026",13:00,"jueves, 17 de diciembre de 2026",13:00
30.70,Introducción a Mecánica de Rocas,"martes, 15 de diciembre de 2026",19:00,"martes, 22 de diciembre de 2026",19:00
30.89,Mecánica de Sólidos,"lunes, 14 de diciembre de 2026",8:00,"lunes, 21 de diciembre de 2026",8:00
31.08,Sistemas de Representación,"martes, 1 de diciembre de 2026",11:00,"jueves, 17 de diciembre de 2026",11:00
